"Audience Name","Email Name","Email type","Email Sent Time",Clicked,Opened,"Click Rate","Clicks Per Unique Opens","Total clicks","Emails sent","Open Rate","Total opens",Unsubscribed,"Unsubscribe Rate","Abuse complaints"
"Church Army","CAConnected 20 April 2023:036 New Chaplain",Regular,"2023-04-20 11:03:21",1,369,0.0016077170148492,0.0027100271545351,1,622,0.59324759244919,672,0,0,0
"Church Army","CAConnected Friday 21 April 2023:37",Regular,"2023-04-21 08:00:00",113,357,0.18167202174664,0.31652662158012,323,622,0.57395499944687,695,0,0,0
"Church Army","Prayer Points 2023:B4 23 April - 29 April",Regular,"2023-04-22 08:45:00",73,377,0.096560843288898,0.19363395869732,246,757,0.49867725372314,787,0,0,0
"Church Army","Supporter News Thank You & CA inFocus 24 April 2023",Regular,"2023-04-24 18:00:00",146,1939,0.045006163418293,0.07529654353857,231,3253,0.59771889448166,3166,16,0.0049321823753417,1
"Church Army","LEAD Update Spring 2023",Regular,"2023-04-25 09:00:00",2,59,0.013422818854451,0.033898305147886,3,154,0.39597314596176,116,2,0.013422818854451,0
"Church Army","26 April 2023 Volunteer Celebration Reminder",Regular,"2023-04-26 08:00:00",20,50,0.37037035822868,0.40000000596046,189,54,0.92592591047287,144,0,0,0
"Church Army","CAConnected Friday 29 April 2023:38",Regular,"2023-04-28 08:31:28",52,345,0.083601288497448,0.15072463452816,178,622,0.55466240644455,622,1,0.0016077170148492,0
"Church Army","Prayer Points 2023:B5 30 April - 6 May",Regular,"2023-04-29 07:00:00",65,393,0.085978835821152,0.16539439558983,230,756,0.51984125375748,769,0,0,0
"Church Army","★ Church Army Pastoral Letter May 2023",Regular,"2023-05-02 08:00:00",125,362,0.20096462965012,0.34530386328697,246,622,0.5819935798645,745,0,0,0
"Church Army","CAConnected A&C Invite 3 May 2023",Regular,"2023-05-03 08:15:00",0,372,0,0,0,622,0.59807074069977,1131,0,0,0
"Church Army","CAConnected Wednesday 3 May 2023:39 Gloucester CoM Appointment",Regular,"2023-05-03 13:30:00",3,333,0.0048231510445476,0.0090090092271566,5,622,0.53536975383759,663,0,0,0
"Church Army","CAConnected Thursday 4 May 2023:40 EiT Jo Miller",Regular,"2023-05-04 09:30:00",1,350,0.0016077170148492,0.0028571428265423,1,622,0.56270098686218,765,0,0,0
"Church Army","CAConnected Friday 5 May 2023:41",Regular,"2023-05-05 09:00:00",71,349,0.1137820482254,0.20343840122223,153,624,0.55929487943649,670,0,0,0
"Church Army","Prayer Points 2023:B6 7 May - 13 May",Regular,"2023-05-09 08:33:19",61,395,0.080368906259537,0.15443037450314,173,761,0.52042162418365,768,0,0,0
"Church Army","CAConnected Tuesday 9 May 2023:42 New Midlands MDO",Regular,"2023-05-09 09:15:00",4,359,0.0063897762447596,0.011142061091959,15,627,0.57348245382309,667,0,0,0
"Church Army","CAConnected Thursday 11 May 2023:43 EiT Steven Grasham",Regular,"2023-05-11 09:00:20",1,333,0.0015974440611899,0.0030030030757189,2,627,0.53194886445999,736,0,0,0
"Church Army","CAConnected Friday 12 May 2023:044",Regular,"2023-05-12 09:15:00",74,355,0.11821085959673,0.208450704813,167,627,0.56709265708923,716,0,0,0
"Church Army","Prayer Points 2023:B7 14 May - 20 May",Regular,"2023-05-13 08:00:00",57,396,0.074901446700096,0.14393939077854,233,763,0.52036792039871,747,0,0,0
"Church Army","Supporter News CA & Mental Health 15 May 2023",Regular,"2023-05-15 11:45:00",67,1622,0.020730197429657,0.041307028383017,121,3238,0.50185644626617,2648,8,0.0024752474855632,0
"Church Army","CAConnected Thursday 18 May 2023:45 EiT Robson Rodrigues",Regular,"2023-05-18 10:23:16",1,329,0.0015948963118717,0.0030395137146115,1,628,0.5247209072113,620,0,0,0
"Church Army","CAConnected Friday 19 May 2023:46",Regular,"2023-05-19 08:00:00",58,355,0.092503987252712,0.16338028013706,128,628,0.56618821620941,730,0,0,0
"Church Army","Prayer Points 2023:B8 21 May - 27 May",Regular,"2023-05-20 08:00:00",61,404,0.080052495002747,0.15099009871483,240,764,0.53018373250961,809,0,0,0
"Church Army","Inside Out May23",Regular,"2023-05-23 11:41:49",4,75,0.022988505661488,0.053333334624767,11,175,0.43103447556496,217,0,0,0
"Church Army","CAConnected Tuesday 23 May 2023:47 EiT Mike Dare",Regular,"2023-05-23 13:33:00",0,325,0,0,0,628,0.5183413028717,683,0,0,0
"Church Army","CAConnected Stand Alone - Discover Envoy Sessions - Wednesday 24 May - Issue 2023.48",Regular,"2023-05-24 09:56:35",8,348,0.012759170494974,0.022988505661488,17,628,0.55502390861511,720,0,0,0
"Church Army","CAConnected Friday 26 May 2023:49",Regular,"2023-05-26 08:00:00",62,349,0.09888356924057,0.177650436759,128,627,0.55661880970001,650,0,0,0
"Church Army","Prayer Points 2023:B9 28 May - 3 June",Regular,"2023-05-27 08:00:00",58,385,0.076115489006042,0.15064935386181,170,762,0.50524932146072,827,0,0,0
"Church Army","CAConnected Tuesday 30 May 2023:50 EiT Helen Kiralfy",Regular,"2023-05-30 14:00:00",1,334,0.0015974440611899,0.0029940120875835,1,626,0.53354632854462,673,0,0,0
"Church Army"," CA Community Blog May 2023",Regular,"2023-05-31 10:24:53",104,354,0.16613417863846,0.2937853038311,181,626,0.56549519300461,689,1,0.0015974440611899,1
"Church Army","CAConnected Friday 2 June 2023:51",Regular,"2023-06-02 08:16:07",103,346,0.16480000317097,0.29768785834312,288,625,0.55360001325607,678,0,0,0
"Church Army","Leaders Gathering Save the Date Email",Regular,"2023-06-02 11:00:00",0,41,0,0,0,60,0.68333333730698,109,0,0,0
"Church Army","Prayer Points 2023:B10 4 June - 10 June",Regular,"2023-06-03 07:00:00",58,381,0.076215505599976,0.15223097801208,231,762,0.50065702199936,778,1,0.0013140604132786,0
"Church Army","CAConnected Monday 5 June 2023:52 EiT Karen Saunders",Regular,"2023-06-05 08:00:00",0,336,0,0,0,628,0.53503185510635,658,0,0,0
"Church Army","CAConnected Wednesday 7 June 2023:53 Volunteers needed!",Regular,"2023-06-07 14:10:49",1,361,0.0015948963118717,0.0027700830250978,1,627,0.57575756311417,679,0,0,0
"Church Army","Lent Appeal 2023 Thank You Test | Combo 1","AB testing","2023-06-07 16:59:50",28,874,0.017358958721161,0.032036613672972,51,1617,0.54184746742249,1327,4,0.0024798512458801,0
"Church Army","Lent Appeal 2023 Thank You Test | Combo 2","AB testing","2023-06-07 16:59:50",33,874,0.020433437079191,0.037757437676191,48,1617,0.54117649793625,1283,5,0.0030959751456976,0
"Church Army","Lent Appeal 2023 Thank You Test","AB testing","2023-06-07 16:59:50",33,907,0,0,49,1617,0,1418,6,0,0
"Church Army","CAConnected Thursday 8 June 2023:54 EiT Julie Macauley",Regular,"2023-06-08 11:00:00",2,330,0.0031847134232521,0.0060606058686972,2,628,0.52547770738602,598,0,0,0
